Customer ID,Order Date,Profit
1,2019-02-24,27.94
2,2019-02-11,196.33
2,2019-02-13,79.19
2,2019-02-21,255.27
2,2019-04-14,126.26
4,2019-01-03,15.44
4,2019-01-27,23.25
4,2019-02-03,16.03
4,2019-03-15,74.07
4,2019-04-25,25.84
5,2019-01-05,84.57
5,2019-04-18,264.63
6,2019-02-19,68.01
6,2019-04-20,196.38
6,2019-04-29,121.23
8,2019-04-14,61.08
8,2019-04-15,22.07
9,2019-04-05,65.59
10,2019-01-06,182.31
10,2019-04-30,287.75
11,2019-01-11,9.58
12,2019-04-25,25.81
13,2019-01-06,69.54
13,2019-04-13,153.44
13,2019-04-28,100.63
14,2019-02-21,27.13
15,2019-01-24,9.07
16,2019-03-24,62.54
17,2019-02-28,5.72
17,2019-03-03,4.45
19,2019-02-09,1339.58
19,2019-04-21,737.73
20,2019-01-08,17.04
20,2019-01-13,22.91
20,2019-01-30,26.7
20,2019-02-10,42.65
20,2019-02-12,49.81
20,2019-03-09,41.21
20,2019-03-27,46.22
20,2019-04-06,34.67
20,2019-04-22,38.86
20,2019-04-27,30.01
20,2019-04-28,20.68
21,2019-02-22,250.6
21,2019-03-25,120.93
21,2019-04-30,70.31
22,2019-01-04,184.03
22,2019-03-20,157.97
23,2019-01-02,83.19
23,2019-03-09,148.14
23,2019-03-20,318.91
28,2019-02-02,48.8
29,2019-01-09,25.14
29,2019-03-06,71.53
29,2019-04-03,52.62
30,2019-02-07,13.96
30,2019-02-10,10.1
30,2019-02-17,27.47
30,2019-03-10,11.99
30,2019-04-11,25.19
30,2019-04-23,20.52
31,2019-01-20,58.3
31,2019-01-21,25.29
31,2019-03-25,57.99
32,2019-01-26,3.57
32,2019-02-10,3.2
32,2019-04-21,5.65
33,2019-02-06,29.3
33,2019-02-27,39.28
33,2019-03-30,52.1
33,2019-04-03,35.72
35,2019-03-04,91.16
36,2019-01-18,105.7
36,2019-01-23,90.72
36,2019-02-09,106.58
36,2019-02-15,144.77
36,2019-03-03,84.76
36,2019-04-17,159.17
36,2019-04-29,91.21
38,2019-02-22,0.68
38,2019-03-05,0.46
38,2019-04-17,0.56
39,2019-01-27,175.95
39,2019-02-24,111.84
39,2019-04-12,191.76
39,2019-04-25,208.9
41,2019-01-05,53.39
42,2019-01-24,37.73
43,2019-01-14,24.47
43,2019-02-10,19.6
43,2019-02-24,20.02
43,2019-02-26,19.92
43,2019-04-18,51.17
43,2019-04-23,22.58
45,2019-01-30,9.67
45,2019-02-20,6.02
45,2019-04-07,7.99
46,2019-03-27,11.61
46,2019-04-30,9.81
47,2019-02-07,18.95
50,2019-04-26,27.99
51,2019-01-31,14.67
51,2019-02-23,24.56
52,2019-04-06,64.77
52,2019-04-21,41.54
53,2019-01-01,5.35
53,2019-01-11,8.17
53,2019-02-22,19.77
53,2019-03-10,22.45
53,2019-04-09,18.94
53,2019-04-29,10.86
56,2019-03-10,183.04
56,2019-03-16,138.64
58,2019-03-21,44.59
58,2019-03-30,30.79
59,2019-01-14,33.4
59,2019-04-03,138.25
60,2019-01-12,82.73
60,2019-02-10,100.61
60,2019-03-04,105.21
60,2019-03-18,193.95
60,2019-03-19,274.67
60,2019-04-27,223.72
61,2019-01-20,140.42
61,2019-02-20,71.65
61,2019-03-09,97.49
61,2019-03-31,71.62
61,2019-04-03,111.13
61,2019-04-04,118.88
61,2019-04-09,89.98
61,2019-04-11,155.99
61,2019-04-16,67.85
61,2019-04-25,166.9
62,2019-04-14,18.26
63,2019-01-26,96.13
63,2019-03-25,242.61
64,2019-04-15,30.29
65,2019-04-03,65.38
67,2019-01-22,51.48
67,2019-03-08,34.04
67,2019-04-16,57.85
67,2019-04-30,37.74
70,2019-02-17,26.64
71,2019-03-24,111.72
72,2019-01-26,15.51
72,2019-04-25,39.75
73,2019-02-11,20.15
73,2019-02-16,6.78
73,2019-03-26,18.01
74,2019-01-11,39.77
76,2019-01-22,20.45
77,2019-01-02,5.71
79,2019-03-21,52.79
81,2019-04-28,59.14
82,2019-02-06,20.47
86,2019-03-05,39.65
87,2019-04-03,11.44
88,2019-01-13,15.73
88,2019-01-29,14.28
89,2019-03-14,21.98
91,2019-02-08,11.52
91,2019-02-11,37.02
94,2019-03-01,23.17
94,2019-04-20,29.16
96,2019-04-11,146.41
96,2019-04-18,254.07
97,2019-04-25,59.62
98,2019-03-12,86.9
98,2019-04-03,91.7
99,2019-04-07,4.45
100,2019-04-22,238.08
105,2019-01-02,170.4
106,2019-03-15,18.74
107,2019-04-15,37.2
108,2019-01-09,62.6
108,2019-01-11,49.92
108,2019-01-12,57.04
108,2019-01-26,46.91
108,2019-02-14,133.42
108,2019-02-18,54.78
108,2019-02-25,127.79
108,2019-02-27,37.49
108,2019-03-01,43.29
108,2019-03-06,68.25
108,2019-04-06,155.57
108,2019-04-22,182.39
108,2019-04-28,108.34
109,2019-03-07,237.36
111,2019-01-24,18.18
111,2019-01-31,23.43
111,2019-02-15,20.74
111,2019-02-18,19.13
111,2019-03-01,24.72
111,2019-03-03,21.53
111,2019-03-16,20.31
111,2019-04-04,37.34
111,2019-04-09,21.52
111,2019-04-25,64.42
111,2019-04-26,30.48
112,2019-02-01,103.63
112,2019-02-28,38.46
112,2019-03-02,24.99
112,2019-03-07,37.44
112,2019-04-03,112.74
112,2019-04-07,75.22
112,2019-04-16,56.9
112,2019-04-25,64.14
113,2019-01-17,61.48
113,2019-01-19,54.67
113,2019-01-26,78.15
113,2019-03-03,43.75
113,2019-03-16,93.87
113,2019-03-23,112.77
113,2019-03-25,117.91
113,2019-04-15,53.15
115,2019-01-11,7.48
115,2019-02-07,6.67
115,2019-02-24,11.64
115,2019-03-17,10.74
115,2019-04-08,12.04
115,2019-04-20,11.86
116,2019-01-05,17.84
116,2019-01-21,13.06
116,2019-02-07,29.64
116,2019-02-09,35.08
116,2019-02-16,15.58
116,2019-03-21,74.57
116,2019-04-02,32.46
116,2019-04-06,15.24
116,2019-04-07,26.21
116,2019-04-23,25.35
116,2019-04-25,59.05
118,2019-01-09,15.95
118,2019-02-14,41.0
118,2019-03-02,15.63
118,2019-04-03,64.64
119,2019-03-09,14.29
120,2019-01-24,123.16
120,2019-01-28,56.2
120,2019-03-15,68.09
120,2019-04-03,47.16
120,2019-04-17,95.33
120,2019-04-26,67.59
120,2019-04-30,40.11
121,2019-02-05,12.26
121,2019-02-19,14.68
121,2019-03-22,22.03
122,2019-01-02,14.58
122,2019-01-15,34.18
122,2019-02-08,24.21
123,2019-02-16,10.26
123,2019-04-20,10.22
123,2019-04-28,9.61
124,2019-04-05,16.04
128,2019-01-15,33.09
128,2019-02-23,43.68
128,2019-04-26,82.81
129,2019-04-03,42.47
130,2019-03-27,6.45
131,2019-02-08,120.16
131,2019-02-26,144.04
132,2019-03-11,137.0
133,2019-01-10,6.46
133,2019-02-05,16.17
134,2019-01-12,5.26
134,2019-02-10,2.67
134,2019-03-02,4.7
134,2019-04-08,3.01
135,2019-03-27,65.5
136,2019-04-28,27.64
136,2019-04-29,40.32
137,2019-04-29,114.74
138,2019-01-01,19.51
138,2019-01-06,27.26
138,2019-01-12,27.28
138,2019-01-28,22.08
138,2019-02-18,66.5
138,2019-04-05,48.09
139,2019-04-06,28.71
142,2019-01-11,81.69
142,2019-03-30,58.34
143,2019-01-15,24.78
143,2019-03-16,29.15
145,2019-03-22,206.48
147,2019-02-02,4.45
147,2019-04-04,12.49
150,2019-02-23,134.08
151,2019-01-08,14.12
151,2019-01-18,23.31
151,2019-02-24,12.49
152,2019-01-23,40.66
152,2019-04-25,70.17
153,2019-03-25,112.32
154,2019-01-24,170.38
154,2019-02-23,45.36
154,2019-03-15,241.2
154,2019-03-22,292.16
155,2019-01-05,53.21
155,2019-01-23,53.2
155,2019-01-24,130.99
155,2019-03-28,94.53
157,2019-01-10,17.51
157,2019-01-22,8.66
157,2019-02-18,13.97
157,2019-02-22,37.32
157,2019-03-06,9.76
157,2019-03-21,26.87
157,2019-04-05,37.95
157,2019-04-16,15.33
157,2019-04-17,24.3
158,2019-02-06,136.16
158,2019-03-29,225.34
158,2019-04-05,287.01
161,2019-03-29,17.6
162,2019-01-19,84.91
163,2019-03-02,13.68
164,2019-04-30,98.9
165,2019-03-14,154.66
166,2019-01-25,10.92
166,2019-02-04,12.2
166,2019-02-21,34.34
168,2019-01-14,8.04
168,2019-02-12,8.88
168,2019-02-17,20.48
168,2019-02-20,7.82
168,2019-03-23,11.56
168,2019-03-25,18.84
168,2019-04-03,12.5
168,2019-04-22,5.01
168,2019-04-27,17.14
169,2019-03-13,17.96
171,2019-03-09,79.21
171,2019-03-14,77.08
171,2019-04-09,51.04
172,2019-01-04,27.33
172,2019-01-12,22.18
172,2019-02-11,36.59
172,2019-04-06,89.57
172,2019-04-17,29.34
175,2019-03-16,56.63
176,2019-03-28,52.45
177,2019-04-05,14.82
178,2019-01-16,592.09
178,2019-02-17,432.55
179,2019-04-01,13.77
180,2019-01-25,178.2
180,2019-03-27,130.06
180,2019-04-11,137.7
181,2019-01-31,88.51
183,2019-04-11,166.22
184,2019-01-29,19.92
184,2019-02-24,10.17
184,2019-04-02,23.52
184,2019-04-05,25.52
185,2019-02-21,32.65
185,2019-04-04,64.68
186,2019-02-23,23.67
186,2019-03-14,22.09
186,2019-04-14,22.91
187,2019-01-04,11.5
187,2019-02-25,28.32
187,2019-04-12,25.65
187,2019-04-15,23.74
187,2019-04-21,16.03
189,2019-02-03,9.46
190,2019-04-22,49.89
191,2019-04-25,476.2
192,2019-01-05,11.14
192,2019-01-23,14.57
192,2019-01-25,27.8
192,2019-02-16,18.82
192,2019-04-25,44.26
192,2019-04-26,37.28
196,2019-03-29,11.31
196,2019-04-03,23.1
197,2019-02-11,20.65
197,2019-02-21,37.31
198,2019-01-01,28.99
198,2019-01-04,27.45
198,2019-01-26,66.63
198,2019-03-13,94.02
198,2019-03-14,161.13
198,2019-03-21,130.74
198,2019-04-10,68.11
198,2019-04-11,63.74
198,2019-04-18,132.97
200,2019-02-02,17.65
200,2019-04-14,9.68
201,2019-01-04,13.03
201,2019-03-09,10.38
201,2019-03-16,7.92
201,2019-04-21,10.81
202,2019-03-25,2.63
202,2019-04-04,2.89
204,2019-03-12,3.85
205,2019-01-20,22.77
205,2019-02-12,34.88
205,2019-03-02,29.23
205,2019-04-14,41.11
206,2019-03-06,19.0
207,2019-03-23,64.7
209,2019-03-20,150.07
209,2019-04-29,44.17
211,2019-03-08,207.4
211,2019-03-11,282.14
214,2019-02-23,45.79
214,2019-02-25,47.41
214,2019-04-30,70.8
215,2019-01-01,118.67
215,2019-01-08,64.03
216,2019-04-27,14.4
